datetime,open,high,low,close,volume
2025-06-09 20:00:00,3326.7,3326.7,3314.32,3316.49,10121
2025-06-09 21:00:00,3316.52,3319.85,3302.78,3306.13,15907
2025-06-09 22:00:00,3306.13,3310.21,3301.8,3309.29,12325
2025-06-09 23:00:00,3309.29,3310.32,3305.0,3307.51,8190
2025-06-10 00:00:00,3307.54,3308.64,3302.77,3307.18,6205
2025-06-10 01:00:00,3307.14,3319.09,3306.65,3317.49,14273
2025-06-10 02:00:00,3317.64,3331.21,3315.33,3325.36,13808
2025-06-10 03:00:00,3325.31,3332.17,3323.88,3330.05,10972
2025-06-10 04:00:00,3330.05,3334.85,3326.03,3329.31,8254
2025-06-10 05:00:00,3329.31,3331.8,3327.01,3329.69,6019
2025-06-10 06:00:00,3329.69,3336.12,3328.32,3335.29,5898
2025-06-10 07:00:00,3335.28,3342.44,3332.14,3333.61,8634
2025-06-10 08:00:00,3333.69,3340.17,3328.16,3337.07,11626
2025-06-10 09:00:00,3337.1,3349.04,3335.51,3343.55,18262
2025-06-10 10:00:00,3343.55,3343.67,3325.35,3328.44,19048
2025-06-10 11:00:00,3328.28,3329.17,3323.09,3326.58,14957
2025-06-10 12:00:00,3326.66,3327.65,3319.84,3321.21,10064
2025-06-10 13:00:00,3321.15,3325.8,3320.33,3324.67,7785
2025-06-10 14:00:00,3324.67,3325.27,3319.3,3321.53,6636
2025-06-10 15:00:00,3321.54,3334.44,3321.39,3328.6,8359
2025-06-10 16:00:00,3328.62,3328.82,3322.35,3322.41,5240
2025-06-10 18:00:00,3321.2,3327.28,3320.56,3324.36,4300
2025-06-10 19:00:00,3324.36,3328.05,3315.38,3327.88,6846
2025-06-10 20:00:00,3327.88,3335.11,3324.98,3332.28,9495
2025-06-10 21:00:00,3332.28,3337.28,3327.53,3328.45,11050
2025-06-10 22:00:00,3328.45,3339.51,3327.06,3338.17,9485
2025-06-10 23:00:00,3338.19,3341.58,3336.42,3339.29,7478
2025-06-11 00:00:00,3339.26,3342.85,3336.8,3341.76,7122
2025-06-11 01:00:00,3341.73,3343.06,3335.44,3339.56,9236
2025-06-11 02:00:00,3339.57,3340.07,3332.36,3337.16,9329
2025-06-11 03:00:00,3337.27,3348.54,3335.07,3345.6,9630
2025-06-11 04:00:00,3345.29,3346.66,3342.47,3344.39,7458
2025-06-11 05:00:00,3344.37,3344.56,3331.19,3333.63,11914
