datetime,open,high,low,close,volume
2024.06.20 23:00,2359.32000,2362.08000,2358.68000,2362.08000,4571,0
2024.06.21 00:00,2362.10000,2362.89000,2361.00000,2362.85000,2564,0
2024.06.21 01:00,2362.84000,2365.55000,2362.09000,2364.45000,4581,0
2024.06.21 02:00,2364.38000,2364.38000,2357.90000,2358.38000,8212,0
2024.06.21 03:00,2358.37000,2364.35000,2355.05000,2362.89000,9672,0
2024.06.21 04:00,2362.87000,2368.00000,2362.57000,2365.27000,7467,0
2024.06.21 05:00,2365.27000,2367.23000,2362.82000,2363.84000,6175,0
2024.06.21 06:00,2363.83000,2364.06000,2361.24000,2363.58000,5307,0
2024.06.21 07:00,2363.60000,2368.62000,2363.40000,2366.17000,5659,0
2024.06.21 08:00,2366.20000,2367.96000,2360.37000,2360.55000,9487,0
2024.06.21 09:00,2360.45000,2363.68000,2334.65000,2340.47000,23067,0
2024.06.21 10:00,2340.46000,2340.46000,2328.44000,2329.77000,21927,0
2024.06.21 11:00,2329.82000,2334.67000,2323.22000,2327.84000,14384,0
2024.06.21 12:00,2327.85000,2329.19000,2323.56000,2324.60000,7700,0
2024.06.21 13:00,2324.60000,2324.99000,2316.60000,2319.16000,9312,0
2024.06.21 14:00,2319.17000,2322.71000,2316.67000,2322.08000,4566,0
2024.06.21 15:00,2322.08000,2323.26000,2320.36000,2322.03000,3502,0
2024.06.21 16:00,2322.02000,2322.60000,2320.44000,2321.07000,1803,0
2024.06.23 18:00,2318.55000,2322.91000,2317.55000,2321.47000,1757,0
2024.06.23 19:00,2321.38000,2321.39000,2317.62000,2319.14000,2698,0
2024.06.23 20:00,2319.08000,2321.68000,2317.91000,2320.88000,4166,0
2024.06.23 21:00,2320.93000,2326.32000,2318.91000,2323.51000,13638,0
2024.06.23 22:00,2323.51000,2325.08000,2319.49000,2324.77000,8763,0
2024.06.23 23:00,2324.72000,2326.58000,2324.32000,2325.37000,5419,0
2024.06.24 00:00,2325.37000,2326.56000,2324.02000,2324.40000,3347,0
2024.06.24 01:00,2324.40000,2327.09000,2323.57000,2325.06000,6298,0
2024.06.24 02:00,2325.05000,2325.23000,2321.27000,2323.41000,7384,0
2024.06.24 03:00,2323.38000,2331.72000,2321.71000,2330.76000,6091,0
2024.06.24 04:00,2330.75000,2332.72000,2329.14000,2330.45000,6259,0
2024.06.24 05:00,2330.46000,2330.87000,2320.74000,2325.02000,7458,0
2024.06.24 06:00,2325.01000,2327.05000,2324.42000,2325.11000,7133,0
2024.06.24 07:00,2325.09000,2327.98000,2324.02000,2326.12000,5822,0
2024.06.24 08:00,2326.13000,2327.77000,2323.19000,2327.53000,8945,0
2024.06.24 09:00,2327.54000,2333.78000,2325.81000,2327.98000,14026,0
2024.06.24 10:00,2327.83000,2333.57000,2326.87000,2330.60000,13361,0
2024.06.24 11:00,2330.61000,2333.06000,2327.43000,2327.54000,7394,0
2024.06.24 12:00,2327.53000,2332.12000,2326.79000,2331.57000,4193,0
2024.06.24 13:00,2331.56000,2333.08000,2330.50000,2331.95000,4104,0
2024.06.24 14:00,2331.99000,2334.56000,2331.87000,2333.67000,3663,0
2024.06.24 15:00,2333.68000,2333.68000,2330.83000,2331.62000,3191,0
