entry_time,exit_time,direction,regime,entry_price,exit_price,tp1_hit,tp2_hit,tp3_hit,trailing_used,exit_type,pnl_pct,pnl_points,duration_hours,month,exit_month
2025-04-05 13:00:00,2025-04-06 18:00:00,SHORT,RANGE,82755.265,79535.99,True,True,False,True,TRAILING_SL,2.3030839790072615,1905.9232500000037,29.0,2025-04,2025-04
2025-04-05 15:00:00,2025-04-06 18:00:00,SHORT,RANGE,82618.235,79535.99,True,False,False,True,TRAILING_SL,2.6289583145093016,2171.998958333334,27.0,2025-04,2025-04
2025-04-06 13:00:00,2025-04-06 18:00:00,SHORT,RANGE,82305.985,79535.99,True,False,False,True,TRAILING_SL,2.449256879678921,2015.885000000001,5.0,2025-04,2025-04
2025-04-08 14:00:00,2025-04-08 18:00:00,SHORT,RANGE,78479.88500000001,77397.98,True,False,False,True,TRAILING_SL,1.49317242246215,1171.8400000000097,4.0,2025-04,2025-04
2025-04-09 13:00:00,2025-04-09 18:00:00,LONG,TREND,77698.14499999999,81728.0,True,True,False,True,TRAILING_SL,3.419838401547434,2657.151000000007,5.0,2025-04,2025-04
2025-04-11 09:00:00,2025-04-11 22:00:00,LONG,RANGE,82450.025,83459.0,True,False,False,True,TRAILING_SL,1.3770462774268484,1135.3750000000057,13.0,2025-04,2025-04
2025-04-12 13:00:00,2025-04-13 00:00:00,LONG,RANGE,84458.265,85064.0,True,False,False,True,TRAILING_SL,1.1055815555765953,933.7550000000031,11.0,2025-04,2025-04
2025-04-11 13:00:00,2025-04-13 02:00:00,LONG,TREND,82930.69499999999,84838.0,True,False,False,True,TRAILING_SL,2.164496862912669,1795.0322916666737,37.0,2025-04,2025-04
2025-04-12 14:00:00,2025-04-13 02:00:00,LONG,RANGE,84827.775,85259.0,True,False,False,True,TRAILING_SL,0.9979042831195395,846.5000000000058,12.0,2025-04,2025-04
2025-04-21 08:00:00,2025-04-22 21:00:00,LONG,TREND,87569.305,92626.0,True,True,False,True,TRAILING_SL,3.268845459033855,2862.5052500000065,37.0,2025-04,2025-04
2025-04-21 09:00:00,2025-04-22 21:00:00,LONG,TREND,87516.075,92626.0,True,True,False,True,TRAILING_SL,3.2829997231937167,2873.152500000005,36.0,2025-04,2025-04
2025-04-21 10:00:00,2025-04-22 21:00:00,LONG,TREND,87347.855,92626.0,True,True,False,True,TRAILING_SL,3.3278400673567456,2906.7969166666726,35.0,2025-04,2025-04
2025-04-22 08:00:00,2025-04-22 21:00:00,LONG,TREND,88414.355,92626.0,True,False,False,True,TRAILING_SL,3.3334066623004883,2947.210000000005,13.0,2025-04,2025-04
2025-04-22 09:00:00,2025-04-22 21:00:00,LONG,TREND,88574.36499999999,92626.0,True,False,False,True,TRAILING_SL,3.237059616515465,2867.2050000000077,12.0,2025-04,2025-04
